US_NEWS_2026_RANK,UNIVERSITY,ACCEPTANCE_RATE_PERCENT,AVERAGE_HIGH_SCHOOL_GPA,GPA_WEIGHTING,SAT_25TH,SAT_MEDIAN_REPORTED,SAT_75TH,SAT_TYPICAL_SCORE_PROXY,SAT_PROXY_METHOD,ACT_25TH,ACT_MEDIAN_REPORTED,ACT_75TH,ACT_TYPICAL_SCORE_PROXY,ACT_PROXY_METHOD,TUITION_SINGLE_RATE_USD,TUITION_IN_STATE_USD,TUITION_OUT_OF_STATE_USD,HOUSING_AND_FOOD_USD,BOOKS_AND_SUPPLIES_USD,TRANSPORTATION_USD,PERSONAL_OTHER_EXPENSES_USD,TOTAL_COST_SINGLE_RATE_USD,TOTAL_COST_IN_STATE_USD,TOTAL_COST_OUT_OF_STATE_USD,DIVERSITY_DENOMINATOR,AIAN_PERCENT,ASIAN_PERCENT,BLACK_PERCENT,HISPANIC_PERCENT,NHPI_PERCENT,WHITE_PERCENT,TWO_OR_MORE_PERCENT,UNKNOWN_PERCENT,NONRESIDENT_PERCENT,ADMISSION_FACTOR_RIGOR_SCORE,ADMISSION_FACTOR_CLASS_RANK_SCORE,ADMISSION_FACTOR_ACADEMIC_GPA_SCORE,ADMISSION_FACTOR_STANDARDIZED_TESTS_SCORE,ADMISSION_FACTOR_ESSAY_SCORE,ADMISSION_FACTOR_RECOMMENDATIONS_SCORE,ADMISSION_FACTOR_INTERVIEW_SCORE,ADMISSION_FACTOR_EXTRACURRICULARS_SCORE,ADMISSION_FACTOR_TALENT_ABILITY_SCORE,ADMISSION_FACTOR_CHARACTER_PERSONAL_SCORE,ADMISSION_FACTOR_FIRST_GENERATION_SCORE,ADMISSION_FACTOR_ALUMNI_RELATION_SCORE,ADMISSION_FACTOR_GEOGRAPHIC_RESIDENCE_SCORE,ADMISSION_FACTOR_STATE_RESIDENCY_SCORE,ADMISSION_FACTOR_RELIGIOUS_AFFILIATION_SCORE,ADMISSION_FACTOR_VOLUNTEER_WORK_SCORE,ADMISSION_FACTOR_WORK_EXPERIENCE_SCORE,ADMISSION_FACTOR_APPLICANT_INTEREST_SCORE,ACCEPTANCE_RATE_CDS_YEAR,GPA_CDS_YEAR,SAT_CDS_YEAR,ACT_CDS_YEAR,ADMISSION_FACTORS_CDS_YEAR,DIVERSITY_CDS_YEAR,COST_CDS_YEAR,PRIMARY_ADMISSIONS_SOURCE_URL,ADMISSION_FACTORS_SOURCE_URL,COST_SOURCE_URL,DIVERSITY_SOURCE_URL,SOURCE_TXT_FILE
1,Princeton University,4.4,3.96,NOT_SPECIFIED,1490,1530,1560,1530,CDS_MEDIAN_50TH,34,35,35,35,CDS_MEDIAN_50TH,62400,NA,NA,20250,1050,900,3000,87600,NA,NA,5916,0.152,24.611,7.843,9.5,0.051,30.984,7.201,6.406,13.252,4,4,4,4,4,4,2,4,4,4,2,2,2,1,1,2,2,1,2025-26,2025-26,2025-26,2025-26,2025-26,2025-26,2023-24_LAST_RETRIEVED_COMPLETE_G1_G5,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.collegedata.fyi/schools/princeton/2023-24,https://www.collegedata.fyi/,001_Princeton_University.txt
2,Massachusetts Institute of Technology,4.6,NA,NOT_SPECIFIED,1520,NA,1570,1545.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,3,3,3,4,2,1,2,1,1,2,2,1,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,2024-25,NA,NA,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,NA,NA,002_Massachusetts_Institute_of_Technology.txt
3,Harvard University,4.2,4.22,NOT_SPECIFIED,NA,NA,NA,NA,NA,33,35,35,35,CDS_MEDIAN_50TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-26,2025-26,NA,2025-26,NA,NA,NA,https://www.collegedata.fyi/,NA,NA,NA,003_Harvard_University.txt
4,Stanford University,3.8,3.94,UNWEIGHTED,1520,1550,1570,1550,CDS_MEDIAN_50TH,34,35,36,35,CDS_MEDIAN_50TH,67731,NA,NA,22944,855,NA,5172,96702,NA,NA,7346,0.776,30.438,6.493,15.723,0.191,23.646,8.971,0.626,13.136,4,4,4,4,4,4,2,4,4,4,2,2,2,1,0,0,0,0,2025-26,2025-26,2025-26,2025-26,2025-26,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,004_Stanford_University.txt
4,Yale University,4.7,NA,NOT_REPORTED,1480,1540,1560,1540,CDS_MEDIAN_50TH,33,34,35,34,CDS_MEDIAN_50TH,72500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,4,4,2,4,4,4,2,2,2,2,1,2,2,1,2025-26,NA,2025-26,2025-26,2025-26,NA,2025-26,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.collegedata.fyi/,NA,004_Yale_University.txt
6,University of Chicago,4.5,4.97,WEIGHTED,1510,NA,1560,1535.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,34,NA,35,34.5,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,71325,NA,NA,20835,1800,450,1950,96360,NA,NA,7519,0.04,19.351,6.863,16.824,0.027,29.459,6.996,2.726,17.715,4,2,2,2,4,4,1,4,4,4,2,2,2,2,2,2,2,1,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,2024-25,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,006_University_of_Chicago.txt
7,Duke University,5.2,NA,NOT_SPECIFIED,1510,NA,1570,1540.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,34,NA,35,34.5,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,73740,NA,NA,20222,536,778,1637,99548,NA,NA,6525,0.107,22.759,8.414,11.648,0.061,32.828,5.946,6.927,11.31,4,3,4,2,2,4,2,4,4,4,2,2,2,2,1,2,2,2,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,2024-25,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,007_Duke_University.txt
7,Johns Hopkins University,6.1,3.93,NOT_SPECIFIED,1530,1550,1565,1550,CDS_MEDIAN_50TH,35,35,35,35,CDS_MEDIAN_50TH,68670,NA,NA,NA,1377,738,1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,1,3,3,3,2,1,2,1,1,3,3,1,2025-26,2025-26,2025-26,2025-26,2025-26,NA,2025-26,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.collegedata.fyi/,NA,007_Johns_Hopkins_University.txt
7,Northwestern University,7.7,NA,NOT_SPECIFIED,1510,NA,1560,1535.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,34,NA,35,34.5,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,69375,NA,NA,21975,1539,NA,2079,94968,NA,NA,9060,0.155,21.325,8.311,15.706,0.055,30.243,7.903,4.514,11.788,4,4,4,2,4,4,2,4,4,4,2,2,2,1,1,2,2,2,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,2024-25,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,https://www.enrollment.northwestern.edu/data/common-data-set.html,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,007_Northwestern_University.txt
7,University of Pennsylvania,4.9,3.9,NOT_SPECIFIED,NA,NA,NA,NA,NA,34,35,35,35,CDS_MEDIAN_50TH,63204,NA,NA,19876,1412,1080,2008,87580,NA,NA,10013,0.15,29.602,8.749,11.615,0.02,25.796,5.363,5.453,13.253,4,3,4,2,4,4,0,3,3,4,2,2,2,2,1,3,3,1,2025-26,2025-26,NA,2025-26,2025-26,2024-25_PREVIOUS_COMPLETE_B2,2024-25_OR_PRIOR_LATEST_REPORTED_COST_TABLE,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,007_University_of_Pennsylvania.txt
